code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev
cloud,2020,16,71,POINT (-174.907399117695 -21.327841306437428),1.0,717030.0,-2359860.0,0.0,0.21330000460147858,0.20359624922275543,6.0,0.2093999981880188,0.20629124343395233,0.24160000681877136,0.2371325045824051,0.2013999968767166,0.2067449986934662,0.06419999897480011,0.053267501294612885,0.07720000296831131,0.06749875098466873,0.053199999034404755,0.20353539288043976,0.2198014110326767
cloud,2020,16,71,POINT (-174.90430885086488 -21.323892894223086),1.0,717360.0,-2359440.0,0.0,0.1673000007867813,0.152391254901886,6.0,0.17749999463558197,0.1698399931192398,0.260699987411499,0.21115875244140625,0.18469999730587006,0.18528124690055847,0.11749999970197678,0.10696125030517578,0.13420000672340393,0.1181812509894371,-0.058400001376867294,0.20841242372989655,0.2915639281272888
cloud,2020,16,71,POINT (-174.903044650798 -21.316258992595763),1.0,717510.0,-2358600.0,0.0,0.1599999964237213,0.14048375189304352,4.0,0.14589999616146088,0.13725249469280243,0.16990000009536743,0.16675999760627747,0.14300000667572021,0.14205124974250793,0.07760000228881836,0.06943749636411667,0.09269999712705612,0.08523625135421753,0.2296999990940094,0.2665973901748657,0.3184734582901001
cloud,2020,16,71,POINT (-174.91990065168966 -21.312968393913874),1.0,715770.0,-2358210.0,0.0,0.23980000615119934,0.21414250135421753,6.0,0.2865000069141388,0.22356125712394714,0.5282999873161316,0.1611499935388565,0.2833000123500824,0.23812249302864075,0.2053000032901764,0.0862950012087822,0.16769999265670776,0.07019375264644623,-0.374099999666214,0.09397824108600616,0.2154739499092102
cloud,2020,16,71,POINT (-174.9182150516005 -21.33481657202662),1.0,715920.0,-2360640.0,0.0,0.305400013923645,0.26944500207901,5.0,0.3458000123500824,0.2742849886417389,0.5859000086784363,0.2234099954366684,0.3463999927043915,0.28737500309944153,0.23600000143051147,0.05238749831914902,0.21629999577999115,0.0631674975156784,-0.3301999866962433,0.22542257606983185,0.2047349363565445
cloud,2020,16,71,POINT (-174.91470338474804 -21.35666145876642),1.0,716250.0,-2363040.0,0.0,0.5285000205039978,0.32712626457214355,4.0,0.5199999809265137,0.2830575108528137,0.6029000282287598,0.14925624430179596,0.5192999839782715,0.264701247215271,0.2596000134944916,0.11517000198364258,0.1599999964237213,0.061820000410079956,-0.2897000014781952,0.20149613916873932,0.2626149654388428
cloud,2020,16,71,POINT (-174.90262325077572 -21.34244949704893),1.0,717510.0,-2361510.0,0.0,0.12389999628067017,0.1124887466430664,6.0,0.13220000267028809,0.12667874991893768,0.1851000040769577,0.18288874626159668,0.1298000067472458,0.13264624774456024,0.07339999824762344,0.0648450031876564,0.09189999848604202,0.08343499898910522,0.1225999966263771,0.32084667682647705,0.29884111881256104
cloud,2020,16,71,POINT (-174.90655631765043 -21.328894198211326),1.0,717120.0,-2359980.0,0.0,0.1923000067472458,0.18064750730991364,6.0,0.18790000677108765,0.18166500329971313,0.22840000689029694,0.22210374474525452,0.18310000002384186,0.18606500327587128,0.05180000141263008,0.039531249552965164,0.06379999965429306,0.05278624966740608,0.13420000672340393,0.15685518085956573,0.24591997265815735
cloud,2020,16,71,POINT (-174.90487071756127 -21.34856870700279),1.0,717270.0,-2362170.0,0.0,0.04960000142455101,0.03848624974489212,6.0,0.07090000063180923,0.06549125164747238,0.18490000069141388,0.1815824955701828,0.08009999990463257,0.08434250205755234,0.14920000731945038,0.10480249673128128,0.12349999696016312,0.11240624636411667,-0.0575999990105629,0.2729509174823761,0.2656847834587097
cloud,2020,16,71,POINT (-174.90199115074228 -21.341199304092658),1.0,717570.0,-2361360.0,0.0,0.1281999945640564,0.12013375014066696,6.0,0.13779999315738678,0.13485999405384064,0.18960000574588776,0.18936499953269958,0.1388999968767166,0.14320625364780426,0.07410000264644623,0.06897000223398209,0.09139999747276306,0.08632250130176544,0.0843999981880188,0.32188454270362854,0.30721351504325867
cloud,2020,16,71,POINT (-174.90613491762812 -21.34106770420687),1.0,717150.0,-2361330.0,0.0,0.12600000202655792,0.11643499881029129,6.0,0.12139999866485596,0.11882749944925308,0.18379999697208405,0.1725900024175644,0.11810000240802765,0.12376374751329422,0.10729999840259552,0.09303250163793564,0.10599999874830246,0.09270250052213669,-0.061799999326467514,0.20011936128139496,0.21949194371700287
cloud,2020,16,71,POINT (-174.9022018507534 -21.34337068495902),1.0,717570.0,-2361600.0,0.0,0.14329999685287476,0.1307075023651123,6.0,0.163100004196167,0.15811124444007874,0.20839999616146088,0.20611250400543213,0.1526000052690506,0.15466000139713287,0.09769999980926514,0.08742249757051468,0.11339999735355377,0.10389500111341476,0.09229999780654907,0.22293472290039062,0.23611745238304138
cloud,2020,16,71,POINT (-174.90262325077566 -21.345805224823913),1.0,717510.0,-2361870.0,0.0,0.08429999649524689,0.07152750343084335,6.0,0.093299999833107,0.08711999654769897,0.15880000591278076,0.15632374584674835,0.09769999980926514,0.10095249861478806,0.06340000033378601,0.05306125059723854,0.08049999922513962,0.07088124752044678,0.1289999932050705,0.26881736516952515,0.28143763542175293
cloud,2020,16,71,POINT (-174.90655631765043 -21.34600261815576),1.0,717090.0,-2361900.0,0.0,0.09070000052452087,0.07580374926328659,6.0,0.10109999775886536,0.08970499783754349,0.19589999318122864,0.17484499514102936,0.10209999978542328,0.10119999945163727,0.1501999944448471,0.11756250262260437,0.11479999870061874,0.08912750333547592,0.033900000154972076,0.22993023693561554,0.2612903416156769
cloud,2020,16,71,POINT (-174.89890088391212 -21.34225209887794),1.0,717900.0,-2361480.0,0.0,0.09179999679327011,0.08082249760627747,6.0,0.10890000313520432,0.10572375357151031,0.15719999372959137,0.1586887538433075,0.10930000245571136,0.11424875259399414,0.07940000295639038,0.07114250212907791,0.09719999879598618,0.08901750296354294,0.12759999930858612,0.19010025262832642,0.2487182766199112
cloud,2020,16,71,POINT (-174.89946275060848 -21.340080701255346),1.0,717840.0,-2361240.0,0.0,0.09619999676942825,0.08721625059843063,6.0,0.09839999675750732,0.09659375250339508,0.15610000491142273,0.15692874789237976,0.10270000249147415,0.10777249932289124,0.06880000233650208,0.06169624999165535,0.08609999716281891,0.0785674974322319,0.023399999365210533,0.24280110001564026,0.24436819553375244
cloud,2020,16,71,POINT (-174.88878728337713 -21.36054318737828),1.0,718920.0,-2363520.0,0.0,0.12269999831914902,0.10756625235080719,4.0,0.10830000042915344,0.10334499925374985,0.1316000074148178,0.13263249397277832,0.10700000077486038,0.11053624749183655,0.08009999990463257,0.07364500313997269,0.0940999984741211,0.08758749812841415,0.18129999935626984,0.282410204410553,0.29754528403282166
cloud,2020,16,71,POINT (-174.8951785170485 -21.364095864745487),1.0,718260.0,-2363910.0,0.0,0.19140000641345978,0.1776362508535385,4.0,0.17309999465942383,0.16675999760627747,0.1899999976158142,0.18552875518798828,0.16859999299049377,0.16832749545574188,0.08699999749660492,0.07409875094890594,0.10119999945163727,0.08936125040054321,0.07360000163316727,0.18844462931156158,0.3121887445449829
cloud,2020,16,71,POINT (-174.890121716781 -21.372253534701166),1.0,718770.0,-2364810.0,0.0,0.164000004529953,0.147001251578331,4.0,0.15330000221729279,0.14667125046253204,0.16769999265670776,0.16616874933242798,0.14800000190734863,0.14870625734329224,0.07530000060796738,0.06697624921798706,0.08590000122785568,0.07720624655485153,0.18729999661445618,0.28236785531044006,0.3049981892108917
cloud,2020,16,71,POINT (-174.88913845006235 -21.374621804381132),1.0,718860.0,-2365080.0,0.0,0.06620000302791595,0.049582500010728836,4.0,0.060100000351667404,0.05220875144004822,0.09459999948740005,0.08855000138282776,0.06129999831318855,0.06014249846339226,0.0851999968290329,0.06767749786376953,0.0908999964594841,0.060692500323057175,0.07779999822378159,0.1968262791633606,0.3134899139404297
cloud,2020,16,71,POINT (-174.8935631502964 -21.37929244487336),1.0,718410.0,-2365590.0,0.0,0.20059999823570251,0.18009750545024872,4.0,0.18230000138282776,0.1746387481689453,0.19370000064373016,0.19020375609397888,0.17790000140666962,0.17759500443935394,0.08470000326633453,0.07386499643325806,0.10159999877214432,0.08982875198125839,0.13289999961853027,0.2525767385959625,0.32433781027793884
