code,time,row,column,row_2,column_2,id,tile_id,epsg,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,meanwi,meanwi_mad,meanwi_stdev,mndwi,mndwi_mad,mndwi_stdev,ndwi,ndwi_mad,ndwi_stdev,nir08,nir08_mad,nir08_stdev,nirwi,nirwi_mad,nirwi_stdev,red,red_mad,swir16,swir16_mad,swir22,swir22_mad
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71986217308333 -22.33692343689193),1.0,677130.0,-2471130.0,0.0,0.20020000636577606,0.0,1.0,0.17090000212192535,0.0,-0.017100000753998756,0.0,0.0,0.4207000136375427,0.0,0.0,0.054999999701976776,0.0,0.0,0.15309999883174896,0.0,0.0,-0.08919999748468399,0.0,0.0,0.1509999930858612,0.0,0.06960000097751617,0.0,0.021700000390410423,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71876243553837 -22.335571499281446),1.0,677010.0,-2470980.0,0.0,0.13570000231266022,0.0,1.0,0.12870000302791595,0.0,-0.06530000269412994,0.0,0.0,0.25850000977516174,0.0,0.0,-0.06379999965429306,0.0,0.0,0.14630000293254852,0.0,0.0,-0.06689999997615814,0.0,0.0,0.1152999997138977,0.0,0.07580000162124634,0.0,0.02810000069439411,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7187953407929 -22.33473894760003),1.0,677010.0,-2470890.0,0.0,0.21209999918937683,0.0,1.0,0.19449999928474426,0.0,-0.08320000022649765,0.0,0.0,0.3756999969482422,0.0,0.0,0.02019999921321869,0.0,0.0,0.1867000013589859,0.0,0.0,-0.1867000013589859,0.0,0.0,0.1793999969959259,0.0,0.08820000290870667,0.0,0.03449999913573265,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.71965253972775 -22.33476995762355),1.0,677100.0,-2470890.0,0.0,0.24500000476837158,0.0,1.0,0.21799999475479126,0.0,-0.10490000247955322,0.0,0.0,0.4235999882221222,0.0,0.0,0.025800000876188278,0.0,0.0,0.2070000022649765,0.0,0.0,-0.23579999804496765,0.0,0.0,0.2053000032901764,0.0,0.08820000290870667,0.0,0.03449999913573265,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7193340890872 -22.33340972842786),1.0,677070.0,-2470740.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7178789014974 -22.332071580441486),1.0,676920.0,-2470590.0,0.0,0.031300000846385956,0.0,1.0,0.052000001072883606,0.0,-0.43230000138282776,0.0,0.0,-0.49790000915527344,0.0,0.0,-0.6104000210762024,0.0,0.0,0.21529999375343323,0.0,0.0,-0.25429999828338623,0.0,0.0,0.04699999839067459,0.0,0.15539999306201935,0.0,0.07609999924898148,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.72249327051966 -22.330889594960812),1.0,677400.0,-2470470.0,0.0,0.042399998754262924,0.0,1.0,0.06440000236034393,0.0,-0.5554999709129333,0.0,0.0,-0.4607999920845032,0.0,0.0,-0.6718000173568726,0.0,0.0,0.32839998602867126,0.0,0.0,-0.4390999972820282,0.0,0.0,0.05820000171661377,0.0,0.1746000051498413,0.0,0.07840000092983246,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.72207550645606 -22.330658411883398),1.0,677370.0,-2470440.0,0.0,0.04580000042915344,0.0,1.0,0.07180000096559525,0.0,-0.5223000049591064,0.0,0.0,-0.4223000109195709,0.0,0.0,-0.6261000037193298,0.0,0.0,0.3122999966144562,0.0,0.0,-0.4185999929904938,0.0,0.0,0.06310000270605087,0.0,0.17679999768733978,0.0,0.08940000087022781,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.72361829336734 -22.329037764527342),1.0,677520.0,-2470260.0,0.0,0.027000000700354576,0.0,1.0,0.04410000145435333,0.0,-0.5583999752998352,0.0,0.0,-0.4595000147819519,0.0,0.0,-0.7333999872207642,0.0,0.0,0.287200003862381,0.0,0.0,-0.38339999318122864,0.0,0.0,0.0333000011742115,0.0,0.1193000003695488,0.0,0.04529999941587448,0.0
bare_terrain,1999,48,14,15,50,015050,"15,50",32658,POINT (166.7236323338293 -22.329303318118342),1.0,677520.0,-2470290.0,0.0,0.028699999675154686,0.0,1.0,0.04780000075697899,0.0,-0.5263000130653381,0.0,0.0,-0.4616999924182892,0.0,0.0,-0.697700023651123,0.0,0.0,0.2687999904155731,0.0,0.0,-0.3547999858856201,0.0,0.0,0.03999999910593033,0.0,0.1298999935388565,0.0,0.054099999368190765,0.0
