code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
bare_terrain,2019,15,50,POINT (166.83091710753996 -22.412402313093096),1.0,688470.0,-2479620.0,0.0,0.013299999758601189,0.0034650000743567944,5.0,0.021299999207258224,0.002282500034198165,0.08799999952316284,0.007534999866038561,0.017400000244379044,0.0026950000319629908,0.07959999889135361,0.024255000054836273,0.056699998676776886,0.02488750033080578,0.09695126116275787,0.0660213753581047,0.19418449699878693,-0.5777998566627502,-0.6102469563484192,0.18518520891666412
bare_terrain,2019,15,50,POINT (166.8306528693357 -22.411181045551498),1.0,688440.0,-2479500.0,0.0,0.02759999968111515,0.007163750007748604,6.0,0.04039999842643738,0.01016124989837408,0.10409999638795853,0.023333750665187836,0.05180000141263008,0.01531749963760376,0.19110000133514404,0.03977875038981438,0.13420000672340393,0.029081249609589577,-0.27399951219558716,0.06124809756875038,0.13921016454696655,-0.6509719491004944,-0.4408304691314697,0.10297289490699768
bare_terrain,2019,15,50,POINT (166.8297924798642 -22.411411560115962),1.0,688350.0,-2479500.0,0.0,0.029400000348687172,0.006709999870508909,6.0,0.04560000076889992,0.012718750163912773,0.11580000072717667,0.030043749138712883,0.06260000169277191,0.015427500009536743,0.21070000529289246,0.041359998285770416,0.1462000012397766,0.02788499929010868,-0.2970629930496216,0.15409120917320251,0.14598308503627777,-0.6441670060157776,-0.434944212436676,0.05004103481769562
bare_terrain,2019,15,50,POINT (166.82835550032914 -22.413765968373855),1.0,688200.0,-2479770.0,0.0,0.017400000244379044,0.0002474999928381294,5.0,0.026499999687075615,0.0012924999464303255,0.1096000000834465,0.011192499659955502,0.02319999970495701,0.0015124999918043613,0.08380000293254852,0.008497499860823154,0.04780000075697899,0.005940000060945749,-0.22102558612823486,0.03718588873744011,0.16530634462833405,-0.5194922685623169,-0.6105804443359375,0.07744110375642776
bare_terrain,2019,15,50,POINT (166.8258307603045 -22.410523126741655),1.0,687930.0,-2479410.0,0.0,0.026000000536441803,0.0032174999359995127,5.0,0.03519999980926514,0.0014575000386685133,0.1096000000834465,0.0016225000144913793,0.04149999842047691,0.0010999999940395355,0.16580000519752502,0.007974999956786633,0.11240000277757645,0.008580000139772892,-0.2861550748348236,0.0153896389529109,0.1330498605966568,-0.6497512459754944,-0.5138121247291565,0.07744110375642776
bare_terrain,2019,15,50,POINT (166.8272607601028 -22.398555331580894),1.0,688110.0,-2478090.0,0.0,0.03020000085234642,0.0035337500739842653,6.0,0.03310000151395798,0.004468750208616257,0.09149999916553497,0.012553749606013298,0.03669999912381172,0.005362499970942736,0.17350000143051147,0.012718750163912773,0.125,0.011261249892413616,-0.25664347410202026,0.040300410240888596,0.036465153098106384,-0.6795740127563477,-0.4686998128890991,0.16628704965114594
bare_terrain,2019,15,50,POINT (166.8249978042341 -22.40211320483506),1.0,687870.0,-2478480.0,0.0,0.030500000342726707,0.005238750018179417,4.0,0.03739999979734421,0.005280000157654285,0.08309999853372574,0.009377500042319298,0.053199999034404755,0.00719125010073185,0.1973000019788742,0.018521249294281006,0.15060000121593475,0.014753749594092369,-0.23429995775222778,0.01975931227207184,0.04849637299776077,-0.6812953352928162,-0.3792531192302704,0.2126954346895218
bare_terrain,2019,15,50,POINT (166.82468345740898 -22.39952773216888),1.0,687840.0,-2478180.0,0.0,0.030400000512599945,0.00533499987795949,4.0,0.042399998754262924,0.006847499869763851,0.10419999808073044,0.007837500423192978,0.05700000002980232,0.009088749997317791,0.19009999930858612,0.01841125078499317,0.13590000569820404,0.014891250059008598,-0.2663854658603668,0.008680690079927444,0.0792769119143486,-0.6352688074111938,-0.4215552806854248,0.1024978831410408
bare_terrain,2019,15,50,POINT (166.6892921669601 -22.307819401823394),1.0,674010.0,-2467860.0,0.0,0.015699999406933784,0.00395999988541007,5.0,0.025599999353289604,0.01036749966442585,0.09529999643564224,0.03550250083208084,0.027899999171495438,0.009349999949336052,0.10010000318288803,0.03786750137805939,0.061400000005960464,0.025465000420808792,-0.22312059998512268,0.15571199357509613,0.2095343917608261,-0.5926809906959534,-0.5765094757080078,0.1464398056268692
bare_terrain,2019,15,50,POINT (166.69162822746165 -22.309250210572433),1.0,674250.0,-2468040.0,0.0,0.01600000075995922,0.0008249999955296516,5.0,0.03240000084042549,0.004730000160634518,0.12439999729394913,0.008552500046789646,0.032499998807907104,0.00503249978646636,0.08980000019073486,0.01597750000655651,0.05220000073313713,0.0062699997797608376,-0.22772932052612305,0.15167967975139618,0.16970832645893097,-0.4697217643260956,-0.5867346525192261,0.014263108372688293
